Material_ID,Material_Name,Chemical_Formula,Category,T_min_K,T_max_K,a,b,c,R_squared,Cp_Unit,Original_Equation_Type,Source_Database
MAT001,Copper,Cu,Metals,298,1358,20.901572,0.00811261,154220.097752,0.963189,J/(mol*K),Shomate,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Thermochemical Tables (1998)"
MAT002,Aluminum,Al,Metals,298,933,19.281976,0.0140446,104453.041419,0.993593,J/(mol*K),Shomate,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Thermochemical Tables (1998)"
MAT003,Iron (alpha),Fe,Metals,298,1042,13.297789,0.02987277,303416.624659,0.998115,J/(mol*K),Shomate,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Thermochemical Tables (1998)"
MAT004,Nickel,Ni,Metals,298,631,23.49436,0.01486359,-26342.685063,0.999465,J/(mol*K),Shomate,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Thermochemical Tables (1998)"
MAT005,Titanium (alpha),Ti,Metals,298,1155,24.417607,0.00691254,-231155.360558,0.999273,J/(mol*K),Shomate,"NIST JANAF — JANAF Thermochemical Tables, 4th Ed."
MAT006,Gold,Au,Metals,298,1337,23.690171,0.00516993,-534.613135,1.0,J/(mol*K),Polynomial,"IVTAN Thermodynamic Database — Gurvich, L.V., IVTAN Tables"
MAT007,Silver,Ag,Metals,298,1235,22.534725,0.00601169,-101612.505763,0.999617,J/(mol*K),Shomate,"NIST Chemistry WebBook — NIST Chemistry WebBook, SRD 69"
MAT008,Tungsten,W,Metals,298,3695,24.080708,0.00484553,-11696.527675,0.999984,J/(mol*K),Polynomial,"NASA Glenn Thermodynamic Database — McBride, B. J. et al., NASA RP-1311"
MAT009,Molybdenum,Mo,Metals,298,2896,26.340654,0.0020506,-249602.519194,0.986654,J/(mol*K),Shomate,NIST JANAF — NIST-JANAF Thermochemical Tables (1998)
MAT010,Zinc,Zn,Metals,298,693,24.006479,0.00508412,-138096.136686,0.999793,J/(mol*K),Shomate,"NIST Chemistry WebBook — NIST Chemistry WebBook, SRD 69"
MAT011,Lead,Pb,Metals,298,600,24.854386,0.00635466,-21406.984471,0.99997,J/(mol*K),Polynomial,IVTAN Thermodynamic Database — IVTAN Tables
MAT012,Magnesium,Mg,Metals,298,923,24.073654,0.00544151,-75655.093293,0.99896,J/(mol*K),Shomate,NIST JANAF — NIST-JANAF Thermochemical Tables
MAT013,Chromium,Cr,Metals,298,2180,27.667428,0.00426932,-586658.553739,0.986254,J/(mol*K),Shomate,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Tables (1998)"
MAT014,Platinum,Pt,Metals,298,2041,25.526494,0.00341832,-130287.408436,0.9966,J/(mol*K),Shomate,"NIST Chemistry WebBook — NIST Chemistry WebBook, SRD 69"
MAT015,Tantalum,Ta,Metals,298,3290,26.738593,0.00195328,-333233.193869,0.960144,J/(mol*K),Shomate,NIST JANAF — NIST-JANAF Thermochemical Tables
MAT016,Niobium,Nb,Metals,298,2750,25.957135,0.0028937,-316187.408688,0.985263,J/(mol*K),Shomate,NIST JANAF — NIST-JANAF Thermochemical Tables
MAT017,Vanadium,V,Metals,298,2183,26.69275,0.00330603,-446172.274756,0.982188,J/(mol*K),Shomate,NIST JANAF — NIST-JANAF Thermochemical Tables
MAT018,Cobalt,Co,Metals,298,1768,27.866588,0.00407922,-428697.804371,0.992921,J/(mol*K),Shomate,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Tables (1998)"
MAT019,Zirconium (alpha),Zr,Metals,298,1138,24.807047,0.00706893,-242711.950891,0.998948,J/(mol*K),Shomate,NIST JANAF — NIST-JANAF Thermochemical Tables
MAT020,Tin (White),Sn,Metals,298,505,21.960248,0.01714216,-7569.089977,1.0,J/(mol*K),Polynomial,IVTAN Thermodynamic Database — IVTAN Tables
MAT021,Beryllium,Be,Metals,298,1560,21.708557,0.0055761,-813569.49294,0.998278,J/(mol*K),Shomate,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Tables (1998)"
MAT022,Palladium,Pd,Metals,298,1828,25.318147,0.0040206,-142311.821168,0.996643,J/(mol*K),Shomate,"NIST Chemistry WebBook — NIST Chemistry WebBook, SRD 69"
MAT023,Rhenium,Re,Metals,298,3459,26.320441,0.00311145,-244236.642541,0.986474,J/(mol*K),Shomate,NIST JANAF — NIST-JANAF Thermochemical Tables
MAT024,Stainless Steel 304,Fe-18Cr-8Ni,Metals and alloys,298,1200,450.0,0.28,-0.0,1.0,J/(kg*K),Polynomial,MatWeb — MatWeb Material Property Data - SS 304
MAT025,Stainless Steel 316,Fe-16Cr-10Ni-2Mo,Metals and alloys,298,1200,468.0,0.26,0.0,1.0,J/(kg*K),Polynomial,MatWeb — MatWeb Material Property Data - SS 316
MAT026,Stainless Steel 410,Fe-12Cr,Metals and alloys,298,1000,440.0,0.31,0.0,1.0,J/(kg*K),Polynomial,MatWeb — MatWeb Material Property Data - SS 410
MAT027,Duplex Stainless Steel 2205,Fe-22Cr-5Ni-3Mo-N,Metals and alloys,298,1100,470.0,0.25,0.0,1.0,J/(kg*K),Polynomial,AZoM Materials Database — AZoM Materials Database - 2205 Duplex
MAT028,Inconel 625,Ni-22Cr-9Mo-3.5Nb,Metals and alloys,298,1300,410.0,0.22,-0.0,1.0,J/(kg*K),Polynomial,MatWeb — Special Metals Inconel 625 Technical Data
MAT029,Inconel 718,Ni-19Cr-3Mo-5Nb-Fe,Metals and alloys,298,1300,435.0,0.21,-0.0,1.0,J/(kg*K),Polynomial,MatWeb — Special Metals Inconel 718 Datasheet
MAT030,Incoloy 800,Fe-32Ni-21Cr,Metals and alloys,298,1200,460.0,0.24,-0.0,1.0,J/(kg*K),Polynomial,MatWeb — Special Metals Incoloy 800 Data Sheet
MAT031,Monel 400,Ni-31Cu,Metals and alloys,298,1100,427.0,0.18,0.0,1.0,J/(kg*K),Polynomial,MatWeb — Special Metals Monel 400 Technical Bulletin
MAT032,Hastelloy C-276,Ni-16Mo-16Cr-4W,Metals and alloys,298,1250,427.0,0.19,0.0,1.0,J/(kg*K),Polynomial,MatWeb — Haynes International Hastelloy C-276
MAT033,Nimonic 80A,Ni-20Cr-2.4Ti-1.4Al,Metals and alloys,298,1200,448.0,0.22,-0.0,1.0,J/(kg*K),Polynomial,AZoM Materials Database — AZoM Materials Database - Nimonic 80A
