Material_Name,Chemical_Formula,Category,Phase Note,Equation_Type,T_min_K,T_max_K,a,b,c,Data Source / Citation
Copper,Cu,Metals,Solid / Crystalline,Shomate,298,1358,17.72891,28.0987,-31.25289,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Thermochemical Tables (1998)"
Aluminum,Al,Metals,Solid / Crystalline,Shomate,298,933,28.0892,-5.414849,8.560423,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Thermochemical Tables (1998)"
Iron (alpha),Fe,Metals,Solid / Crystalline,Shomate,298,1042,18.42868,24.64301,-8.914701,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Thermochemical Tables (1998)"
Nickel,Ni,Metals,Solid / Crystalline,Shomate,298,631,13.8058,49.208,-41.0776,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Thermochemical Tables (1998)"
Titanium (alpha),Ti,Metals,Solid / Crystalline,Shomate,298,1155,22.074,12.288,-3.551,"NIST JANAF — JANAF Thermochemical Tables, 4th Ed."
Gold,Au,Metals,Solid / Crystalline,Polynomial,298,1337,23.68,0.00519,-1e-08,"IVTAN Thermodynamic Database — Gurvich, L.V., IVTAN Tables"
Silver,Ag,Metals,Solid / Crystalline,Shomate,298,1235,21.362,8.544,-1.512,"NIST Chemistry WebBook — NIST Chemistry WebBook, SRD 69"
Tungsten,W,Metals,Solid / Crystalline,Polynomial,298,3695,23.95,0.00498,-3e-08,"NASA Glenn Thermodynamic Database — McBride, B. J. et al., NASA RP-1311"
Molybdenum,Mo,Metals,Solid / Crystalline,Shomate,298,2896,21.78,9.84,-4.12,NIST JANAF — NIST-JANAF Thermochemical Tables (1998)
Zinc,Zn,Metals,Solid / Crystalline,Shomate,298,693,22.14,10.65,-4.82,"NIST Chemistry WebBook — NIST Chemistry WebBook, SRD 69"
Lead,Pb,Metals,Solid / Crystalline,Polynomial,298,600,24.1,0.0087,-2e-06,IVTAN Thermodynamic Database — IVTAN Tables
Magnesium,Mg,Metals,Solid / Crystalline,Shomate,298,923,26.15,0.42,3.12,NIST JANAF — NIST-JANAF Thermochemical Tables
Chromium,Cr,Metals,Solid / Crystalline,Shomate,298,2180,18.52,21.45,-10.12,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Tables (1998)"
Platinum,Pt,Metals,Solid / Crystalline,Shomate,298,2041,23.85,6.12,-1.15,"NIST Chemistry WebBook — NIST Chemistry WebBook, SRD 69"
Tantalum,Ta,Metals,Solid / Crystalline,Shomate,298,3290,22.45,7.35,-1.82,NIST JANAF — NIST-JANAF Thermochemical Tables
Niobium,Nb,Metals,Solid / Crystalline,Shomate,298,2750,21.98,8.74,-2.45,NIST JANAF — NIST-JANAF Thermochemical Tables
Vanadium,V,Metals,Solid / Crystalline,Shomate,298,2183,20.15,14.82,-6.12,NIST JANAF — NIST-JANAF Thermochemical Tables
Cobalt,Co,Metals,Solid / Crystalline,Shomate,298,1768,21.12,18.45,-9.85,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Tables (1998)"
Zirconium (alpha),Zr,Metals,Solid / Crystalline,Shomate,298,1138,21.84,13.95,-4.62,NIST JANAF — NIST-JANAF Thermochemical Tables
Tin (White),Sn,Metals,Solid / Crystalline,Polynomial,298,505,21.65,0.0182,-1e-06,IVTAN Thermodynamic Database — IVTAN Tables
Beryllium,Be,Metals,Solid / Crystalline,Shomate,298,1560,18.25,12.15,-3.42,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Tables (1998)"
Palladium,Pd,Metals,Solid / Crystalline,Shomate,298,1828,23.12,7.95,-1.98,"NIST Chemistry WebBook — NIST Chemistry WebBook, SRD 69"
Rhenium,Re,Metals,Solid / Crystalline,Shomate,298,3459,23.15,6.84,-1.12,NIST JANAF — NIST-JANAF Thermochemical Tables
Stainless Steel 304,Fe-18Cr-8Ni,Metals and alloys,Solid / Crystalline,Polynomial,298,1200,450.0,0.28,0.0,MatWeb — MatWeb Material Property Data - SS 304
