Material_ID,Material_Name,Chemical_Formula,Category,T_min_K,T_max_K,a,b,c,Cp_Unit,Original_Equation_Type
MAT001,Copper,Cu,Metals,298,1358,20.901572,0.00811261,154220.097752,J/(mol*K),Shomate
MAT002,Aluminum,Al,Metals,298,933,19.281976,0.0140446,104453.041419,J/(mol*K),Shomate
MAT003,Iron (alpha),Fe,Metals,298,1042,13.297789,0.02987277,303416.624659,J/(mol*K),Shomate
MAT004,Nickel,Ni,Metals,298,631,23.49436,0.01486359,-26342.685063,J/(mol*K),Shomate
MAT005,Titanium (alpha),Ti,Metals,298,1155,24.417607,0.00691254,-231155.360558,J/(mol*K),Shomate
MAT006,Gold,Au,Metals,298,1337,23.690171,0.00516993,-534.613135,J/(mol*K),Polynomial
MAT007,Silver,Ag,Metals,298,1235,22.534725,0.00601169,-101612.505763,J/(mol*K),Shomate
MAT008,Tungsten,W,Metals,298,3695,24.080708,0.00484553,-11696.527675,J/(mol*K),Polynomial
MAT009,Molybdenum,Mo,Metals,298,2896,26.340654,0.0020506,-249602.519194,J/(mol*K),Shomate
MAT010,Zinc,Zn,Metals,298,693,24.006479,0.00508412,-138096.136686,J/(mol*K),Shomate
MAT011,Lead,Pb,Metals,298,600,24.854386,0.00635466,-21406.984471,J/(mol*K),Polynomial
MAT012,Magnesium,Mg,Metals,298,923,24.073654,0.00544151,-75655.093293,J/(mol*K),Shomate
MAT013,Chromium,Cr,Metals,298,2180,27.667428,0.00426932,-586658.553739,J/(mol*K),Shomate
MAT014,Platinum,Pt,Metals,298,2041,25.526494,0.00341832,-130287.408436,J/(mol*K),Shomate
MAT015,Tantalum,Ta,Metals,298,3290,26.738593,0.00195328,-333233.193869,J/(mol*K),Shomate
MAT016,Niobium,Nb,Metals,298,2750,25.957135,0.0028937,-316187.408688,J/(mol*K),Shomate
MAT017,Vanadium,V,Metals,298,2183,26.69275,0.00330603,-446172.274756,J/(mol*K),Shomate
MAT018,Cobalt,Co,Metals,298,1768,27.866588,0.00407922,-428697.804371,J/(mol*K),Shomate
MAT019,Zirconium (alpha),Zr,Metals,298,1138,24.807047,0.00706893,-242711.950891,J/(mol*K),Shomate
MAT020,Tin (White),Sn,Metals,298,505,21.960248,0.01714216,-7569.089977,J/(mol*K),Polynomial
MAT021,Beryllium,Be,Metals,298,1560,21.708557,0.0055761,-813569.49294,J/(mol*K),Shomate
MAT022,Palladium,Pd,Metals,298,1828,25.318147,0.0040206,-142311.821168,J/(mol*K),Shomate
MAT023,Rhenium,Re,Metals,298,3459,26.320441,0.00311145,-244236.642541,J/(mol*K),Shomate
MAT024,Stainless Steel 304,Fe-18Cr-8Ni,Metals and alloys,298,1200,450.0,0.28,-0.0,J/(kg*K),Polynomial
MAT025,Stainless Steel 316,Fe-16Cr-10Ni-2Mo,Metals and alloys,298,1200,468.0,0.26,0.0,J/(kg*K),Polynomial
MAT026,Stainless Steel 410,Fe-12Cr,Metals and alloys,298,1000,440.0,0.31,0.0,J/(kg*K),Polynomial
MAT027,Duplex Stainless Steel 2205,Fe-22Cr-5Ni-3Mo-N,Metals and alloys,298,1100,470.0,0.25,0.0,J/(kg*K),Polynomial
MAT028,Inconel 625,Ni-22Cr-9Mo-3.5Nb,Metals and alloys,298,1300,410.0,0.22,-0.0,J/(kg*K),Polynomial
MAT029,Inconel 718,Ni-19Cr-3Mo-5Nb-Fe,Metals and alloys,298,1300,435.0,0.21,-0.0,J/(kg*K),Polynomial
MAT030,Incoloy 800,Fe-32Ni-21Cr,Metals and alloys,298,1200,460.0,0.24,-0.0,J/(kg*K),Polynomial
MAT031,Monel 400,Ni-31Cu,Metals and alloys,298,1100,427.0,0.18,0.0,J/(kg*K),Polynomial
MAT032,Hastelloy C-276,Ni-16Mo-16Cr-4W,Metals and alloys,298,1250,427.0,0.19,0.0,J/(kg*K),Polynomial
MAT033,Nimonic 80A,Ni-20Cr-2.4Ti-1.4Al,Metals and alloys,298,1200,448.0,0.22,-0.0,J/(kg*K),Polynomial
